Data,ERS,Municipio,Infectados,Recuperados,Obitos,Total
21/04/2020,Rondonopolis,Rondonopolis,24,6,1,31
21/04/2020,Caceres,Sao Jose dos Quatro Marcos,2,2,0,4
21/04/2020,Sinop,Sinop,3,10,0,13
21/04/2020,Tangara da Serra,Tangara da Serra,0,5,0,5
21/04/2020,Sinop,Uniao do Sul,0,1,0,1
21/04/2020,Baixada Cuiabana,Varzea Grande,3,6,0,9
21/04/2020,Pontes e Lacerda,Vila Bela da Santissima Trindade,1,0,0,1
22/04/2020,Alta Floresta,Alta Floresta,0,1,0,1
22/04/2020,Juina,Aripuana,0,1,1,2
22/04/2020,Barra do Garcas,Barra do Garcas,2,0,1,3
22/04/2020,Caceres,Caceres,2,1,1,4
22/04/2020,Tangara da Serra,Campo Novo do Parecis,0,1,0,1
22/04/2020,Agua Boa,Canarana,0,1,0,1
22/04/2020,Pontes e Lacerda,Conquista do Oeste,1,0,0,1
22/04/2020,Baixada Cuiabana,Cuiaba,49,52,1,102
22/04/2020,Sinop,Ipiranga do Norte,1,0,0,1
22/04/2020,Rondonopolis,Jaciara,1,0,0,1
22/04/2020,Caceres,Lambari do Oeste,0,1,0,1
22/04/2020,Sinop,Lucas do Rio Verde,0,0,1,1
22/04/2020,Caceres,Mirassol do Oeste,5,0,0,5
22/04/2020,Alta Floresta,Nova Monte Verde,0,1,0,1
22/04/2020,Sinop,Nova Mutum,0,1,0,1
22/04/2020,Pontes e Lacerda,Pontes e Lacerda,1,0,0,1
22/04/2020,Rondonopolis,Primavera do Leste,4,1,0,5
22/04/2020,Caceres,Rio Branco,2,0,0,2
22/04/2020,Rondonopolis,Rondonopolis,26,7,2,35
22/04/2020,Caceres,Sao Jose dos Quatro Marcos,3,2,0,5
22/04/2020,Sinop,Sinop,3,10,0,13
22/04/2020,Tangara da Serra,Tangara da Serra,0,5,0,5
22/04/2020,Sinop,Uniao do Sul,0,1,0,1
22/04/2020,Baixada Cuiabana,Varzea Grande,3,8,0,11
22/04/2020,Pontes e Lacerda,Vila Bela da Santissima Trindade,1,0,0,1
23/04/2020,Alta Floresta,Alta Floresta,0,1,0,1
23/04/2020,Juina,Aripuana,0,1,1,2
23/04/2020,Barra do Garcas,Barra do Garcas,2,0,1,3
23/04/2020,Caceres,Caceres,2,1,1,4
23/04/2020,Tangara da Serra,Campo Novo do Parecis,0,1,0,1
23/04/2020,Agua Boa,Canarana,0,1,0,1
23/04/2020,Porto Alegre do Norte,Confresa,1,0,0,1
23/04/2020,Pontes e Lacerda,Conquista do Oeste,1,0,0,1
23/04/2020,Baixada Cuiabana,Cuiaba,42,65,1,108
23/04/2020,Sinop,Ipiranga do Norte,1,0,0,1
23/04/2020,Rondonopolis,Jaciara,1,0,0,1
23/04/2020,Caceres,Lambari do Oeste,0,1,0,1
23/04/2020,Sinop,Lucas do Rio Verde,0,0,1,1
23/04/2020,Caceres,Mirassol do Oeste,5,0,0,5
23/04/2020,Alta Floresta,Nova Monte Verde,0,1,0,1
23/04/2020,Sinop,Nova Mutum,0,1,0,1
23/04/2020,Barra do Garcas,Pontal do Araguaia,1,0,0,1
23/04/2020,Pontes e Lacerda,Pontes e Lacerda,1,0,0,1
23/04/2020,Rondonopolis,Primavera do Leste,6,2,0,8
23/04/2020,Caceres,Rio Branco,2,0,0,2
23/04/2020,Rondonopolis,Rondonopolis,27,6,2,35
23/04/2020,Caceres,Sao Jose dos Quatro Marcos,3,2,0,5
23/04/2020,Sinop,Sinop,4,10,0,14
23/04/2020,Tangara da Serra,Tangara da Serra,0,5,0,5
23/04/2020,Sinop,Uniao do Sul,0,1,0,1
23/04/2020,Baixada Cuiabana,Varzea Grande,3,9,0,12
23/04/2020,Pontes e Lacerda,Vila Bela da Santissima Trindade,1,0,0,1
24/04/2020,Alta Floresta,Alta Floresta,0,1,0,1
24/04/2020,Juina,Aripuana,0,1,1,2
24/04/2020,Barra do Garcas,Barra do Garcas,2,0,1,3
24/04/2020,Caceres,Caceres,2,1,1,4
24/04/2020,Tangara da Serra,Campo Novo do Parecis,0,1,0,1
24/04/2020,Agua Boa,Canarana,0,1,0,1
24/04/2020,Porto Alegre do Norte,Confresa,1,0,0,1
24/04/2020,Pontes e Lacerda,Conquista do Oeste,1,0,0,1
24/04/2020,Baixada Cuiabana,Cuiaba,38,80,1,119
24/04/2020,Sinop,Ipiranga do Norte,1,0,0,1
24/04/2020,Rondonopolis,Jaciara,1,0,0,1
