"cod_ibge","municipio","classificacao_epidemiologica","ers","infectados_n","recuperados_n","obitos_n","r_025","r_500","r_975","r_mm7","n_va","p_va"
5107925,"Sorriso","TRANSMISSAO COMUNITARIA","Sinop","91","49","0",0.816721744784574,1.07757543029428,1.38884663711275,1.23531362625668,1.4235378343243,1.30511130807402
5107941,"Tabapora","CASOS ISOLADOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5107958,"Tangara da Serra","TRANSMISSAO COMUNITARIA","Tangara da Serra","101","71","1",0.948342389349349,1.23028007155159,1.56325327216013,1.12593796557927,0.0471563071644062,1.15218002727847
5108006,"Tapurah","TRANSMISSAO LOCAL","Sinop","26","5","0",0.861813191523346,1.38745404715891,2.09312749289916,2.04009465020328,NA,NA
5108055,"Terra Nova do Norte","CASOS ISOLADOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5108105,"Tesouro","CASOS ISOLADOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5108204,"Torixoreu","CASOS ISOLADOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5108303,"Uniao do Sul","CASOS ISOLADOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5108352,"Vale de Sao Domingos","CASOS ISOLADOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5108402,"Varzea Grande","TRANSMISSAO COMUNITARIA","Baixada Cuiabana","242","107","20",0.996225774320672,1.18219258225192,1.38998194834082,1.15751830572596,0.193321107215463,1.16842056061748
5108501,"Vera","CASOS ISOLADOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5108600,"Vila Rica","TRANSMISSAO LOCAL","Porto Alegre do Norte","24","2","0",0.794483116042162,1.38808277326617,2.22290042272763,1.52949693480306,NA,NA
5108808,"Nova Guarita","CASOS ISOLADOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5108857,"Nova Marilandia","CASOS ISOLADOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5108907,"Nova Maringa","CASOS ISOLADOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5108956,"Nova Monte Verde","CASOS ISOLADOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
