"municipio","cod_ibge","classificacao_epidemiologica","infectados_n","recuperados_n","obitos_n","r_025","r_500","r_975","r_mm7","n_va","p_va","ia_cat","iv_cat","risco"
"Lambari D'Oeste",5105234,"CASOS ISOLADOS","0","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Alto","Alto"
"Lucas do Rio Verde",5105259,"TRANSMISSAO COMUNITARIA","106","44","2",0.821247106613611,1.08646145173241,1.40345505424524,1.31284086355124,0.64328231292517,0.64328231292517,"Moderado","Alto","Alto"
"Luciara",5105309,"CASOS ISOLADOS","0","1","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Alto","Alto"
"Marcelandia",5105580,"TRANSMISSAO LOCAL","4","6","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Alto","Alto"
"Matupa",5105606,"TRANSMISSAO LOCAL","20","8","0",0.374220519085104,0.788288044698824,1.43338373285652,1.16707882171534,NA,NA,"Muito baixo","Alto","Alto"
"Mirassol D'Oeste",5105622,"CASOS ISOLADOS","0","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Alto","Alto"
"Nobres",5105903,"CASOS ISOLADOS","2","3","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Alto","Alto"
"Nortelandia",5106000,"CASOS ISOLADOS","0","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Alto","Alto"
"Nossa Senhora de Livramento",5106109,"CASOS ISOLADOS","0","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Alto","Alto"
"Nova Bandeirantes",5106158,"CASOS ISOLADOS","0","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Alto","Alto"
"Nova Brasilandia",5106208,"CASOS ISOLADOS","0","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Alto","Alto"
"Nova Canaa do Norte",5106216,"CASOS ISOLADOS","0","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Alto","Alto"
